,,,,,,,,,,,,,,,,,,,
,,,,,,,ES,Eversource Energy (ES),US Stock,,,,,,,,Eversource Energy (ES),ES,US Stock
,,,,,,,EXC,Exelon Corp. (EXC),US Stock,,,,,,,,Exelon Corp. (EXC),EXC,US Stock
,,,,,,,EXPE,Expedia Inc. (EXPE),US Stock,,,,,,,,Expedia Inc. (EXPE),EXPE,US Stock
,,,,,,,EXPD,Expeditors Int'l (EXPD),US Stock,,,,,,,,Expeditors Int'l (EXPD),EXPD,US Stock
,,,,,,,ESRX,Express Scripts (ESRX),US Stock,,,,,,,,Express Scripts (ESRX),ESRX,US Stock
,,,,,,,EXR,Extra Space Storage (EXR),US Stock,,,,,,,,Extra Space Storage (EXR),EXR,US Stock
,,,,,,,XOM,Exxon Mobil Corp. (XOM),US Stock,,,,,,,,Exxon Mobil Corp. (XOM),XOM,US Stock
,,,,,,,FFIV,F5 Networks (FFIV),US Stock,,,,,,,,F5 Networks (FFIV),FFIV,US Stock
,,,,,,,FB,Facebook (FB),US Stock,,,,,,,,Facebook (FB),FB,US Stock
,,,,,,,FAST,Fastenal Co (FAST),US Stock,,,,,,,,Fastenal Co (FAST),FAST,US Stock
,,,,,,,FRT,Federal Realty Investment Trust (FRT),US Stock,,,,,,,,Federal Realty Investment Trust (FRT),FRT,US Stock
,,,,,,,FDX,FedEx Corporation (FDX),US Stock,,,,,,,,FedEx Corporation (FDX),FDX,US Stock
,,,,,,,FIS,Fidelity National Information Services (FIS),US Stock,,,,,,,,Fidelity National Information Services (FIS),FIS,US Stock
,,,,,,,FITB,Fifth Third Bancorp (FITB),US Stock,,,,,,,,Fifth Third Bancorp (FITB),FITB,US Stock
,,,,,,,FSLR,First Solar Inc (FSLR),US Stock,,,,,,,,First Solar Inc (FSLR),FSLR,US Stock
,,,,,,,FE,FirstEnergy Corp (FE),US Stock,,,,,,,,FirstEnergy Corp (FE),FE,US Stock
,,,,,,,FISV,Fiserv Inc (FISV),US Stock,,,,,,,,Fiserv Inc (FISV),FISV,US Stock
,,,,,,,FLIR,FLIR Systems (FLIR),US Stock,,,,,,,,FLIR Systems (FLIR),FLIR,US Stock
,,,,,,,FLS,Flowserve Corporation (FLS),US Stock,,,,,,,,Flowserve Corporation (FLS),FLS,US Stock
,,,,,,,FLR,Fluor Corp. (FLR),US Stock,,,,,,,,Fluor Corp. (FLR),FLR,US Stock
,,,,,,,FMC,FMC Corporation (FMC),US Stock,,,,,,,,FMC Corporation (FMC),FMC,US Stock
